date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:33:54	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:33:55%20GMT	https://www.airbnb.com/s/Cape-Cod--MA	/Users/coding/websites/air/www.airbnb.com/s/Cape-Cod--MA	(from https://www.airbnb.com/)
01:33:55	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:33:56%20GMT	https://www.airbnb.com/s/Charlotte--NC	/Users/coding/websites/air/www.airbnb.com/s/Charlotte--NC	(from https://www.airbnb.com/)
01:33:56	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:33:57%20GMT	https://www.airbnb.com/s/Chicago--IL	/Users/coding/websites/air/www.airbnb.com/s/Chicago--IL	(from https://www.airbnb.com/)
01:33:57	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:33:58%20GMT	https://www.airbnb.com/s/Cincinnati--OH	/Users/coding/websites/air/www.airbnb.com/s/Cincinnati--OH	(from https://www.airbnb.com/)
01:33:58	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:33:59%20GMT	https://www.airbnb.com/s/Cleveland--OH	/Users/coding/websites/air/www.airbnb.com/s/Cleveland--OH	(from https://www.airbnb.com/)
01:33:59	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:00%20GMT	https://www.airbnb.com/s/Cocoa-Beach--FL	/Users/coding/websites/air/www.airbnb.com/s/Cocoa-Beach--FL	(from https://www.airbnb.com/)
01:34:00	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:01%20GMT	https://www.airbnb.com/s/Dallas--TX	/Users/coding/websites/air/www.airbnb.com/s/Dallas--TX	(from https://www.airbnb.com/)
01:34:01	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:02%20GMT	https://www.airbnb.com/s/Daytona-Beach--FL	/Users/coding/websites/air/www.airbnb.com/s/Daytona-Beach--FL	(from https://www.airbnb.com/)
01:34:02	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:03%20GMT	https://www.airbnb.com/s/Denver--CO	/Users/coding/websites/air/www.airbnb.com/s/Denver--CO	(from https://www.airbnb.com/)
01:34:03	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:04%20GMT	https://www.airbnb.com/s/Destin--FL	/Users/coding/websites/air/www.airbnb.com/s/Destin--FL	(from https://www.airbnb.com/)
01:34:04	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:05%20GMT	https://www.airbnb.com/s/Dubai--United-Arab-Emirates	/Users/coding/websites/air/www.airbnb.com/s/Dubai--United-Arab-Emirates	(from https://www.airbnb.com/)
01:34:05	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:06%20GMT	https://www.airbnb.com/s/Florida--United-States	/Users/coding/websites/air/www.airbnb.com/s/Florida--United-States	(from https://www.airbnb.com/)
01:34:06	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:07%20GMT	https://www.airbnb.com/s/Florida-Keys	/Users/coding/websites/air/www.airbnb.com/s/Florida-Keys	(from https://www.airbnb.com/)
01:34:07	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:08%20GMT	https://www.airbnb.com/s/Fredericksburg--TX?type=bnb	/Users/coding/websites/air/www.airbnb.com/s/Fredericksburg--TX3664	(from https://www.airbnb.com/)
01:34:08	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:09%20GMT	https://www.airbnb.com/s/Gulf-Shores--AL	/Users/coding/websites/air/www.airbnb.com/s/Gulf-Shores--AL	(from https://www.airbnb.com/)
01:34:09	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:10%20GMT	https://www.airbnb.com/s/Hawaii--United-States	/Users/coding/websites/air/www.airbnb.com/s/Hawaii--United-States	(from https://www.airbnb.com/)
01:34:10	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:11%20GMT	https://www.airbnb.com/s/Hilton-Head-Island--SC	/Users/coding/websites/air/www.airbnb.com/s/Hilton-Head-Island--SC	(from https://www.airbnb.com/)
01:34:11	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:12%20GMT	https://www.airbnb.com/s/Hong-Kong	/Users/coding/websites/air/www.airbnb.com/s/Hong-Kong	(from https://www.airbnb.com/)
01:34:12	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:13%20GMT	https://www.airbnb.com/s/Houston--TX	/Users/coding/websites/air/www.airbnb.com/s/Houston--TX	(from https://www.airbnb.com/)
01:34:13	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:14%20GMT	https://www.airbnb.com/s/Ibiza--Spain	/Users/coding/websites/air/www.airbnb.com/s/Ibiza--Spain	(from https://www.airbnb.com/)
01:34:14	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:15%20GMT	https://www.airbnb.com/s/Indianapolis--IN	/Users/coding/websites/air/www.airbnb.com/s/Indianapolis--IN	(from https://www.airbnb.com/)
01:34:15	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:16%20GMT	https://www.airbnb.com/s/Istanbul--Turkey	/Users/coding/websites/air/www.airbnb.com/s/Istanbul--Turkey	(from https://www.airbnb.com/)
01:34:16	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:17%20GMT	https://www.airbnb.com/s/Kansas-City--MO	/Users/coding/websites/air/www.airbnb.com/s/Kansas-City--MO	(from https://www.airbnb.com/)
01:34:17	206/206	---M--	503	error ('Service%20Temporarily%20Unavailable')	text/html	date:Thu,%2003%20May%202018%2005:34:18%20GMT	https://www.airbnb.com/s/Key-West--FL	/Users/coding/websites/air/www.airbnb.com/s/Key-West--FL	(from https://www.airbnb.com/)
